theta,omega
0.480673,1.87705
0.499214,1.83088
0.517285,1.78314
0.534872,1.73387
0.551958,1.68315
0.56853,1.63102
0.584574,1.57753
0.600076,1.52276
0.615025,1.46676
0.629407,1.40958
0.643213,1.35128
0.656429,1.29192
0.669048,1.23156
0.681058,1.17025
0.69245,1.10805
0.703216,1.04501
0.713347,0.981189
0.722837,0.916641
0.731678,0.851418
0.739863,0.785573
0.747387,0.71916
0.754245,0.652228
0.760431,0.584831
0.76594,0.517018
0.77077,0.448839
0.774916,0.380344
0.778376,0.311583
0.781147,0.242604
0.783227,0.173456
0.784615,0.104187
0.785311,0.0348459
0.785312,-0.0345193
0.78462,-0.103861
0.783235,-0.17313
0.781158,-0.242278
0.77839,-0.311258
0.774934,-0.380021
0.770791,-0.448517
0.765964,-0.516697
0.760458,-0.584513
0.754276,-0.651912
0.747421,-0.718846
0.7399,-0.785262
0.731718,-0.851109
0.72288,-0.916335
0.713394,-0.980887
0.703265,-1.04471
0.692502,-1.10775
0.681113,-1.16996
0.669106,-1.23127
0.65649,-1.29164
0.643276,-1.351
0.629474,-1.40931
0.615094,-1.46649
0.600148,-1.5225
0.584648,-1.57728
0.568607,-1.63077
0.552037,-1.68291
0.534953,-1.73364
0.517369,-1.78291
0.4993,-1.83066
0.480761,-1.87683
0.461769,-1.92137
0.442339,-1.96423
0.42249,-2.00534
0.402239,-2.04466
0.381603,-2.08213
0.360602,-2.11771
0.339255,-2.15134
0.317582,-2.18299
0.295602,-2.2126
0.273337,-2.24013
0.250807,-2.26555
0.228033,-2.28881
0.205038,-2.30989
0.181843,-2.32875
0.15847,-2.34536
0.134943,-2.3597
0.111284,-2.37175
0.0875158,-2.38149
0.0636619,-2.3889
0.0397457,-2.39397
0.0157905,-2.39669
-0.00818026,-2.39706
-0.032143,-2.39508
-0.0560741,-2.39076
-0.0799503,-2.38409
-0.103748,-2.37509
-0.127444,-2.36378
-0.151016,-2.35016
-0.17444,-2.33427
-0.197694,-2.31612
-0.220755,-2.29574
-0.243601,-2.27317
-0.266211,-2.24843
-0.288563,-2.22157
-0.310636,-2.19261
-0.332408,-2.16161
-0.353861,-2.1286
-0.374974,-2.09364
-0.395727,-2.05676
-0.416103,-2.01802
-0.436082,-1.97747
-0.455646,-1.93517
-0.474779,-1.89115
-0.493464,-1.84549
-0.511684,-1.79824
-0.529424,-1.74944
-0.546668,-1.69917
-0.563402,-1.64747
-0.579613,-1.5944
-0.595286,-1.54003
-0.610409,-1.48441
-0.62497,-1.42759
-0.638957,-1.36963
-0.652359,-1.3106
-0.665166,-1.25055
-0.677367,-1.18953
-0.688953,-1.1276
-0.699916,-1.06481
-0.710247,-1.00123
-0.719938,-0.936906
-0.728983,-0.871888
-0.737374,-0.806233
-0.745105,-0.739991
-0.752172,-0.673217
-0.758568,-0.605959
-0.76429,-0.538271
-0.769332,-0.470201
-0.773693,-0.4018
-0.777367,-0.333116
-0.780354,-0.2642
-0.782651,-0.1951
-0.784256,-0.125864
-0.785168,-0.0565402
-0.785386,0.0128226
-0.784911,0.0821765
-0.783743,0.151473
-0.781882,0.220665
-0.77933,0.289703
-0.776089,0.358539
-0.77216,0.427123
-0.767547,0.495408
-0.762253,0.563343
-0.756282,0.630878
-0.749637,0.697962
-0.742324,0.764546
-0.734348,0.830577
-0.725715,0.896003
-0.71643,0.960771
-0.706502,1.02483
-0.695936,1.08812
-0.684742,1.1506
-0.672927,1.21219
-0.660501,1.27286
-0.647473,1.33255
-0.633854,1.39119
-0.619653,1.44873
-0.604883,1.50511
-0.589555,1.56028
-0.573682,1.61418
-0.557276,1.66675
-0.540351,1.71792
-0.522922,1.76766
-0.505003,1.81589
-0.48661,1.86256
-0.467757,1.90762
-0.448463,1.95101
-0.428743,1.99267
-0.408615,2.03256
-0.388098,2.07061
-0.367209,2.10679
-0.345968,2.14103
-0.324395,2.17331
-0.302509,2.20356
-0.280331,2.23174
-0.257881,2.25783
-0.235181,2.28177
-0.212253,2.30353
-0.189118,2.32309
-0.165799,2.34041
-0.142318,2.35546
-0.118697,2.36823
-0.0949606,2.37869
-0.0711311,2.38683
-0.0472318,2.39263
-0.0232863,2.39609
0.000682111,2.3972
0.0246498,2.39596
0.0485934,2.39236
0.0724893,2.38643
0.0963142,2.37816
0.120045,2.36757
0.143658,2.35467
0.16713,2.33948
0.19044,2.32204
0.213564,2.30235
0.23648,2.28046
0.259166,2.2564
0.2816,2.2302
0.303763,2.20189
0.325631,2.17152
0.347186,2.13914
0.368408,2.10478
0.389276,2.0685
0.409771,2.03034
0.429876,1.99035
0.449572,1.94859
0.468842,1.9051
0.487669,1.85995
0.506036,1.81319
0.523927,1.76487
0.541328,1.71505
0.558224,1.66379
0.574599,1.61115
0.590442,1.55718
0.605739,1.50194
0.620477,1.44548
0.634644,1.38788
0.648231,1.32918
0.661225,1.26944
0.673616,1.20871
0.685396,1.14706
0.696554,1.08454
0.707084,1.0212
0.716976,0.957104
0.726224,0.892297
0.73482,0.826835
0.742758,0.760771
0.750033,0.694158
0.75664,0.627046
0.762573,0.559487
0.767828,0.491531
0.772402,0.423228
0.776292,0.354628
0.779494,0.285779
0.782007,0.216731
0.783828,0.147532
0.784957,0.0782307
0.785392,0.008875
0.785134,-0.0604868
0.784183,-0.129807
0.782539,-0.199036
0.780203,-0.268128
0.777177,-0.337032
0.773463,-0.4057
0.769064,-0.474084
0.763982,-0.542134
0.758222,-0.609799
0.751788,-0.67703
0.744683,-0.743776
0.736914,-0.809985
0.728485,-0.875606
0.719404,-0.940586
0.709676,-1.00487
0.699309,-1.06841
0.688311,-1.13115
0.676689,-1.19302
0.664453,-1.25399
0.651612,-1.31399
0.638177,-1.37296
0.624157,-1.43085
0.609564,-1.4876
0.594409,-1.54316
0.578705,-1.59746
0.562464,-1.65045
0.5457,-1.70207
0.528427,-1.75226
0.51066,-1.80097
0.492413,-1.84814
0.473702,-1.8937
0.454544,-1.93762
0.434956,-1.97983
0.414954,-2.02028
0.394556,-2.05891
0.373782,-2.09568
0.352649,-2.13053
0.331178,-2.16343
0.309387,-2.19431
0.287298,-2.22315
0.264931,-2.2499
0.242307,-2.27451
0.219448,-2.29696
0.196376,-2.31721
0.173111,-2.33523
0.149678,-2.351
0.126099,-2.36448
0.102396,-2.37567
0.0785934,-2.38453
0.0547135,-2.39107
0.0307799,-2.39526
0.0068161,-2.3971
-0.0171544,-2.3966
-0.041108,-2.39374
-0.0650213,-2.38854
-0.0888709,-2.38099
-0.112633,-2.37113
-0.136286,-2.35895
-0.159805,-2.34448
-0.183168,-2.32774
-0.206352,-2.30875
-0.229335,-2.28755
-0.252096,-2.26416
-0.274611,-2.23862
-0.296861,-2.21097
-0.318824,-2.18124
-0.340479,-2.14948
-0.361807,-2.11574
-0.382787,-2.08005
-0.403401,-2.04247
-0.423631,-2.00305
-0.443457,-1.96184
-0.462862,-1.91888
-0.481829,-1.87425
-0.500341,-1.82798
-0.518383,-1.78015
-0.535939,-1.73079
-0.552994,-1.67998
-0.569534,-1.62776
-0.585545,-1.5742
-0.601013,-1.51935
-0.615927,-1.46327
-0.630275,-1.40602
-0.644044,-1.34765
-0.657224,-1.28823
-0.669805,-1.22781
-0.681777,-1.16644
-0.693131,-1.10419
-0.703858,-1.0411
-0.713951,-0.977232
-0.723401,-0.912641
-0.732201,-0.847378
-0.740346,-0.781497
-0.747829,-0.71505
-0.754645,-0.648089
-0.76079,-0.580664
-0.766257,-0.512827
-0.771045,-0.444627
-0.775149,-0.376114
-0.778566,-0.307338
-0.781295,-0.238347
-0.783333,-0.16919
-0.784678,-0.0999159
-0.785331,-0.030572
-0.78529,0.0387931
-0.784555,0.108131
-0.783127,0.177394
-0.781008,0.246534
-0.778197,0.315502
-0.774698,0.38425
-0.770513,0.452728
-0.765645,0.520887
-0.760097,0.588678
-0.753873,0.65605
-0.746977,0.722954
-0.739415,0.789336
-0.731192,0.855147
-0.722314,0.920333
-0.712788,0.984841
-0.70262,1.04862
-0.691818,1.11161
-0.680391,1.17376
-0.668346,1.23502
-0.655693,1.29533
-0.642443,1.35463
-0.628604,1.41286
-0.614189,1.46998
-0.599209,1.52591
-0.583675,1.58061
-0.567601,1.63402
-0.550999,1.68607
-0.533884,1.73672
-0.51627,1.7859
-0.498171,1.83355
-0.479604,1.87963
-0.460584,1.92406
-0.441128,1.96681
-0.421254,2.00782
-0.400978,2.04702
-0.380319,2.08438
-0.359297,2.11984
-0.337929,2.15335
-0.316236,2.18487
-0.294238,2.21435
-0.271956,2.24176
-0.24941,2.26704
-0.226622,2.29017
-0.203614,2.31112
-0.180408,2.32984
-0.157025,2.34631
-0.133489,2.36051
-0.109822,2.37242
-0.0860482,2.38201
-0.0621899,2.38928
-0.0382705,2.3942
-0.0143137,2.39678
0.00965725,2.39701
0.0336187,2.39489
0.0575471,2.39042
0.0814192,2.3836
0.105211,2.37446
0.128901,2.36301
0.152464,2.34925
0.175878,2.33322
0.199121,2.31493
0.222169,2.29441
0.245002,2.27171
0.267596,2.24684
0.289931,2.21984
0.311986,2.19076
0.33374,2.15963
0.355172,2.1265
0.376263,2.09142
0.396994,2.05443
0.417346,2.01558
0.437299,1.97492
0.456838,1.9325
0.475944,1.88839
0.4946,1.84263
0.512791,1.79527
0.530501,1.74639
0.547714,1.69602
0.564416,1.64424
0.580594,1.59109
0.596234,1.53664
0.611323,1.48094
0.625849,1.42405
0.6398,1.36603
0.653166,1.30693
0.665935,1.24681
0.678099,1.18574
0.689647,1.12375
0.700571,1.06092
0.710863,0.99729
0.720514,0.932919
0.729519,0.867861
0.737869,0.802167
0.74556,0.735892
0.752585,0.669086
0.75894,0.601801
0.76462,0.534087
0.769621,0.465995
0.773939,0.397575
0.777571,0.328876
0.780516,0.259947
0.78277,0.190837
0.784332,0.121594
0.785201,0.0522669
0.785377,-0.0170967
0.784859,-0.0864485
0.783648,-0.15574
0.781745,-0.224924
0.77915,-0.293951
0.775867,-0.362772
0.771896,-0.43134
0.767241,-0.499604
