x,v
0.498684,1.4112
0.512796,1.35851
0.526381,1.30452
0.539426,1.24927
0.551919,1.19283
0.563847,1.13525
0.575199,1.07659
0.585965,1.01692
0.596134,0.956291
0.605697,0.894765
0.614645,0.832406
0.622969,0.769277
0.630662,0.705441
0.637716,0.640964
0.644126,0.575911
0.649885,0.510346
0.654988,0.444337
0.659432,0.377949
0.663211,0.31125
0.666324,0.244307
0.668767,0.177186
0.670539,0.109955
0.671638,0.0426809
0.672065,-0.0245683
0.671819,-0.0917256
0.670902,-0.158724
0.669315,-0.225497
0.66706,-0.291977
0.66414,-0.358099
0.660559,-0.423797
0.656321,-0.489006
0.651431,-0.55366
0.645895,-0.617696
0.639718,-0.68105
0.632907,-0.743659
0.625471,-0.805463
0.617416,-0.866399
0.608752,-0.926408
0.599488,-0.98543
0.589634,-1.04341
0.579199,-1.10028
0.568197,-1.156
0.556637,-1.21051
0.544531,-1.26375
0.531894,-1.31568
0.518737,-1.36624
0.505075,-1.41538
0.490921,-1.46306
0.47629,-1.50922
0.461198,-1.55383
0.44566,-1.59684
0.429691,-1.63822
0.413309,-1.67791
0.39653,-1.71588
0.379371,-1.75211
0.36185,-1.78654
0.343985,-1.81915
0.325793,-1.84991
0.307294,-1.87879
0.288506,-1.90576
0.269449,-1.9308
0.250141,-1.95388
0.230602,-1.97499
0.210852,-1.9941
0.190911,-2.0112
0.170799,-2.02627
0.150536,-2.03929
0.130143,-2.05027
0.109641,-2.05918
0.0890488,-2.06603
0.0683886,-2.0708
0.0476805,-2.0735
0.0269456,-2.07412
0.00620435,-2.07267
-0.0145223,-2.06914
-0.0352137,-2.06355
-0.0558492,-2.0559
-0.0764083,-2.04621
-0.0968703,-2.03447
-0.117215,-2.02072
-0.137422,-2.00495
-0.157472,-1.9872
-0.177344,-1.96748
-0.197019,-1.94581
-0.216477,-1.92222
-0.235699,-1.89672
-0.254666,-1.86936
-0.27336,-1.84016
-0.291761,-1.80914
-0.309853,-1.77635
-0.327616,-1.74181
-0.345034,-1.70556
-0.36209,-1.66765
-0.378766,-1.6281
-0.395047,-1.58697
-0.410917,-1.54429
-0.42636,-1.50011
-0.441361,-1.45448
-0.455906,-1.40743
-0.46998,-1.35902
-0.48357,-1.30931
-0.496663,-1.25833
-0.509247,-1.20615
-0.521308,-1.15281
-0.532836,-1.09838
-0.54382,-1.0429
-0.554249,-0.986429
-0.564113,-0.929031
-0.573404,-0.870761
-0.582111,-0.81168
-0.590228,-0.751845
-0.597747,-0.691319
-0.60466,-0.630161
-0.610961,-0.568435
-0.616646,-0.506202
-0.621708,-0.443525
-0.626143,-0.380467
-0.629948,-0.317092
-0.633119,-0.253463
-0.635653,-0.189644
-0.63755,-0.1257
-0.638807,-0.0616932
-0.639424,0.00231087
-0.6394,0.0662486
-0.638738,0.130056
-0.637437,0.19367
-0.635501,0.257026
-0.63293,0.320062
-0.62973,0.382715
-0.625903,0.444923
-0.621453,0.506623
-0.616387,0.567755
-0.61071,0.628258
-0.604427,0.688073
-0.597546,0.747139
-0.590075,0.8054
-0.582021,0.862797
-0.573393,0.919273
-0.5642,0.974774
-0.554453,1.02924
-0.54416,1.08263
-0.533334,1.13488
-0.521985,1.18595
-0.510126,1.23577
-0.497768,1.28431
-0.484925,1.33152
-0.471609,1.37735
-0.457836,1.42176
-0.443618,1.4647
-0.428971,1.50613
-0.41391,1.54601
-0.39845,1.58431
-0.382607,1.62099
-0.366397,1.65601
-0.349837,1.68934
-0.332943,1.72094
-0.315734,1.75079
-0.298226,1.77887
-0.280437,1.80513
-0.262386,1.82956
-0.244091,1.85214
-0.225569,1.87285
-0.206841,1.89166
-0.187924,1.90856
-0.168838,1.92354
-0.149603,1.93657
-0.130237,1.94766
-0.110761,1.95679
-0.0911929,1.96395
-0.0715534,1.96914
-0.051862,1.97236
-0.0321384,1.9736
-0.0124024,1.97287
0.00732624,1.97016
0.0270279,1.96549
0.0466827,1.95885
0.0662713,1.95027
0.085774,1.93974
0.105171,1.92728
0.124444,1.91291
0.143573,1.89664
0.16254,1.87849
0.181325,1.85848
0.199909,1.83663
0.218276,1.81297
0.236405,1.78751
0.254281,1.7603
0.271884,1.73135
0.289197,1.7007
0.306204,1.66838
0.322888,1.63442
