x,y,vx,vy
99.9314,12.603,12.8747,-19.1756
100.06,12.411,12.8499,-19.2367
100.188,12.2183,12.8251,-19.2976
100.317,12.025,12.8003,-19.3583
100.444,11.8311,12.7756,-19.4189
100.572,11.6367,12.7508,-19.4793
100.699,11.4416,12.7261,-19.5395
100.827,11.2459,12.7013,-19.5995
100.953,11.0496,12.6766,-19.6593
101.08,10.8527,12.6519,-19.719
101.206,10.6552,12.6271,-19.7785
101.333,10.4571,12.6024,-19.8378
101.459,10.2584,12.5778,-19.8969
101.584,10.0592,12.5531,-19.9559
101.71,9.85932,12.5284,-20.0147
101.835,9.65888,12.5037,-20.0733
101.96,9.45786,12.4791,-20.1317
102.084,9.25625,12.4544,-20.1899
102.209,9.05406,12.4298,-20.248
102.333,8.85129,12.4052,-20.3059
102.457,8.64794,12.3806,-20.3636
102.581,8.44402,12.356,-20.4212
102.704,8.23952,12.3314,-20.4786
102.827,8.03445,12.3068,-20.5357
102.95,7.8288,12.2823,-20.5928
103.073,7.62259,12.2577,-20.6496
103.195,7.41581,12.2332,-20.7063
103.317,7.20847,12.2087,-20.7628
103.439,7.00056,12.1841,-20.8191
103.561,6.79209,12.1596,-20.8752
103.683,6.58306,12.1351,-20.9312
103.804,6.37346,12.1107,-20.9869
103.925,6.16332,12.0862,-21.0426
104.046,5.95261,12.0618,-21.098
104.166,5.74136,12.0373,-21.1533
104.286,5.52955,12.0129,-21.2083
104.406,5.31719,11.9885,-21.2632
104.526,5.10429,11.9641,-21.318
104.646,4.89083,11.9397,-21.3725
104.765,4.67683,11.9154,-21.4269
104.884,4.46229,11.891,-21.4811
105.003,4.24721,11.8667,-21.5352
105.121,4.03159,11.8423,-21.589
105.24,3.81543,11.818,-21.6427
105.358,3.59874,11.7937,-21.6962
105.475,3.38151,11.7695,-21.7496
105.593,3.16375,11.7452,-21.8027
105.71,2.94546,11.721,-21.8557
105.827,2.72663,11.6967,-21.9085
105.944,2.50729,11.6725,-21.9612
106.061,2.28741,11.6483,-22.0136
106.177,2.06701,11.6241,-22.0659
106.293,1.84609,11.6,-22.1181
106.409,1.62465,11.5758,-22.17
106.525,1.40269,11.5517,-22.2218
106.64,1.18022,11.5276,-22.2734
106.755,0.957227,11.5035,-22.3248
106.87,0.733722,11.4794,-22.3761
106.985,0.509705,11.4553,-22.4272
107.099,0.285179,11.4313,-22.4781
107.214,0.0601439,11.4072,-22.5289
